"HORA","CASINO_GGR","SPORTSBOOK_GGR","CASINO_NGR","SPORTSBOOK_NGR","CASINO_TURNOVER","SPORTSBOOK_TURNOVER"
"00:45",0,0,0,0,0,0
"01:00",0,0,0,0,0,0
"01:15",0,0,0,0,0,0
"01:30",218,0,218,0,2870,0
"01:45",0,0,0,0,2770,0
"02:00",0,0,0,0,4.0791,349
"02:15",96604,,96559,,17.5601,849
"02:30",,,,,36.71805,2349
"02:45",19.23216,15.21231,8.485653248419847,6.712006751580152,83.2622,29749
"03:00",29.70646,25.68661,13.766542756279803,11.9036672437202,102.06554,29749
"03:15",27.30505,23.28684,12.554726510415009,10.70717348958499,111.97485,29913
"03:30",28.09802,24.08179,12.954241351913701,11.102608648086301,119.33415,30111
"03:45",29.36666,25.35543,13.592884844237492,11.73621515576251,126.62045,30611
"04:00",27.08513,23.0739,12.435085211259066,10.593484788740929,132.03493,30611
"04:15",27.19034,23.17911,12.487617139424788,10.64539286057521,137.59023,30611
"04:30",27.24276,23.23153,12.513996828619087,10.671433171380915,145.20622,30611
"04:45",27.3324,23.33513,12.544117107741386,10.709582892258611,153.6599,32007
"05:00",28.44854,24.45127,13.078561436681907,11.24090856331809,159.31445,32007
"05:15",29.63054,25.60367,13.664452934328198,11.8074170656718,167.0904,32007
"05:30",28.84677,24.8295,13.268576829794618,11.420763170205381,174.3496,32967
"05:45",34.51394,30.50667,16.11901063600295,14.247499363997047,188.2195,33967
"06:00",35.23523,31.32659,16.497423651452138,14.66736634854786,200.22175,44790
"06:15",33.225,29.44311,15.52418805593467,13.757121944065332,222.9505,57465
"06:30",33.81057,30.14724,15.851462364030288,14.133977635969712,245.30141,70321
"06:45",33.73181,29.86808,15.75547682184356,13.95080317815644,266.62981,71621
"07:00",40.07524,36.90801,19.11972595741541,17.608654042584586,292.59811,1.41271
"07:15",39.13049,36.22276,18.716980860595925,17.326149139404073,323.1687,1.67221
"07:30",42.70186,39.90962,20.519367397865285,19.177622602134715,354.41443,1.7877
"07:45",42.60853,39.95053,20.50287901991011,19.223870980089888,377.29195,1.95771
"08:00",45.09449,42.30362,21.711784431969978,20.368055568030016,420.42235,2.10087
"08:15",47.5163,44.78192,22.939098367032432,21.61904163296757,465.24161,2.33796
"08:30",45.17417,42.39641,21.74872976565988,20.411400234340118,492.17121,2.41796
"08:45",47.70974,44.3195,22.84792333400993,21.224356665990072,520.43138,2.48163
"09:00",51.72253,48.37253,24.86798839257702,23.257321607422984,549.27229,2.56891
"09:15",51.67434,48.79463,24.898949913910734,23.511380086089268,567.43449,3.0392
"09:30",56.44179,54.12751,27.201669370269144,26.086320629730857,592.02418,3.6252
"09:45",61.19533,58.82662,29.367738900516947,28.230991099483056,620.4666,4.81077
"10:00",65.23762,62.67671,31.282391879313288,30.054398120686713,645.99405,4.94077
"10:15",60.84377,58.09671,28.995719743782768,27.686580256217226,686.35008,5.14937
"10:30",58.54699,57.13605,28.156409525089416,27.477860474910578,724.94238,6.58353
"10:45",50.10529,48.58544,23.860958715784147,23.13718128421585,771.87019,6.93878
